Agent Name,Position,Department,Action Degree,Rule Description,CID,Rewardthreat Change,Infection Method
agent-2,Financial Analyst,Finance,2,The 'Tick' ransomware attacks! All your files have been encrypted.,A,1000.8,agent-4
agent-6,Financial Analyst,Finance,2,The 'Tick' ransomware attacks! All your files have been encrypted.,A,1000.8,agent-4
agent-2,Financial Analyst,Finance,2,Your account has been compromised.,A,1001.1,agent-2
agent-0,Controller,Finance,2,Your account has been compromised.,A,1001.1,agent-2
agent-1,General Accountant,Finance,2,Your account has been compromised.,A,1001.1,agent-2
agent-4,Accounting Clerk,Finance,2,Your account has been compromised.,A,1001.1,agent-2
agent-6,Financial Analyst,Finance,2,Your account has been compromised.,A,1001.1,agent-2
agent-6,Financial Analyst,Finance,2,Passwords must be changed if they have been used for a large amount of time.,B,1000.7,agent-6
agent-0,Controller,Finance,2,Passwords must be changed if they have been used for a large amount of time.,B,1000.7,agent-6
agent-1,General Accountant,Finance,2,Passwords must be changed if they have been used for a large amount of time.,B,1000.7,agent-6
agent-2,Financial Analyst,Finance,2,Passwords must be changed if they have been used for a large amount of time.,B,1000.7,agent-6
agent-4,Accounting Clerk,Finance,2,Passwords must be changed if they have been used for a large amount of time.,B,1000.7,agent-6
